intro:翻译：正天罡;
 -vol3/18.ogg -next;
那就只能举办成活动了吧？ -vol3/518.ogg;
所以才会聚集而来嘛！ -vol3/519.ogg;
一直都是认识的人…… -vol3/520.ogg;
而且都是看上去挺微妙的一帮人了呢。 -vol3/521.ogg;
是呢特别是这附近的…… -vol3/522.ogg;
啊啦啊啦有自觉的话你可以退出啊？美羽。 -vol3/523.ogg;
我在这也不奇怪啊！ -vol3/524.ogg;
喂新吾那个大姐姐是谁？ -vol3/525.ogg;
哼~是路过的谜之人妻啦！ -vol3/526.ogg;
母亲不也自己说谜吗！ -vol3/527.ogg;
啊~是天羽前辈的母亲吗？ -vol3/528.ogg;
那今天是母亲们的聚集呢。 -vol3/529.ogg;
隼太，再说下去活动内容要发生改变了。 -vol3/530.ogg;
到不如说关键的的安洁和她母亲的她们没看见啊。 -vol3/531.ogg;
新吾酱安洁就拜托你啦。 -vol3/532.ogg;
啊好的。 -vol3/533.ogg;
安洁——。 -vol3/534.ogg;
你叫我吗，主人。 -vol3/535.ogg;
出！出现了！安洁的必杀技！从天花板登场！ -vol3/536.ogg;
就算看不见身影。 -vol3/537.ogg;
只要呼唤就能马上出现。 -vol3/538.ogg;
怎么样母亲大人安洁已经到了这一步了哦。 -vol3/539.ogg;
女仆平时像妖精一样隐藏身姿。 -vol3/540.ogg;
但是只要主人呼唤就能即刻出现（只狼吗这是）。 -vol3/541.ogg;
出现这下分数会很高呢！ -vol3/542.ogg;
但是……要是说从天花板上登场。 -vol3/543.ogg;
像不像女仆该做的事情的话那会让人有点纳闷儿呢…… -vol3/544.ogg;
等会，在这之前想给她的看的埃莉小姐还没出现呢。 -vol3/545.ogg;
埃莉？ -vol3/546.ogg;
我在这里。 -vol3/547.ogg;
诶！？ -vol3/548.ogg;
母母亲大人…… -vol3/549.ogg;
先隐藏气息，就是这么回事（懂了，刺客信条）。 -vol3/550.ogg;
就算这么说也没什么气息什么感觉都没有…… -vol3/551.ogg;
只要叫了就会在那……（哦，是车万人）。 -vol3/552.ogg;
这可真是……比安洁还要厉害！ -vol3/553.ogg;
没想到在登场的阶段就已经是败家犬了。 -vol3/554.ogg;
这样的话安洁就只是个抖包袱的角色了。 -vol3/555.ogg;
和抖包袱女仆没区别了！ -vol3/556.ogg;
太精准了…… -vol3/557.ogg;
安洁！才刚刚开始呢。 -vol3/558.ogg;
不是要给埃莉小姐展示你的成长吗。 -vol3/559.ogg;
主人……是的！ -vol3/560.ogg;
安洁就像是不死鸟一样再次站了起来！ -vol3/561.ogg;
正是如此！就算消沉也没用！ -vol3/562.ogg;
母亲大人那么请看这边。 -vol3/563.ogg;
安洁必杀的扫除奥义之…… -vol3/564.ogg;
在这之前。 -vol3/565.ogg;
诶？ -vol3/566.ogg;
兰华这么多客人。 -vol3/567.ogg;
首先得先上上茶和点心才更符合礼仪吧？ -vol3/568.ogg;
嗯……那就拜托你了。 -vol3/569.ogg;
我知道了，那么各位，请稍等。 -vol3/570.ogg;
安洁，之后再继续。 -vol3/571.ogg;
好！好的！ -vol3/572.ogg;
嗯……	。 -vol3/573.ogg;
呜呜……结果从头到尾都不顺利…… -vol3/574.ogg;
是该说不顺利还是该说什么呢…… -vol3/575.ogg;
被展现了差距？ -vol3/576.ogg;
不如说，想让对方认同的意识太强。 -vol3/577.ogg;
其他的事情全都从脑子里飞出去了的感觉。 -vol3/578.ogg;
我知道的……安洁果然还是不行的。 -vol3/579.ogg;
和母亲相比，真是个相当废柴的女仆。 -vol3/580.ogg;
呜……明明有这么优秀的主人在。 -vol3/581.ogg;
安洁真是…… -vol3/582.ogg;
真是的！所以说在意这种事情也没办法啊。 -vol3/583.ogg;
安洁就是安洁。 -vol3/584.ogg;
但是！！ -vol3/585.ogg;
安洁。 -vol3/586.ogg;
在！ -vol3/587.ogg;
虽然有点抱歉，能请你泡点茶吗。 -vol3/588.ogg;
诶？啊啊好的！我知道了！ -vol3/589.ogg;
你口渴了吗？ -vol3/590.ogg;
倒也不是因为这个。 -vol3/591.ogg;
就相当于……让她恢复初心一样的感觉？ -vol3/592.ogg;
久等了！主人！ -vol3/593.ogg;
哈哈真快，不愧是你。 -vol3/594.ogg;
没有…… -vol3/595.ogg;
谢谢那我马上品尝一下。 -vol3/596.ogg;
好的各各位也请。 -vol3/597.ogg;
然后呢？也喝完了茶。 -vol3/598.ogg;
接下来要做什么呢？ -vol3/599.ogg;
不没有什么要做的。 -vol3/600.ogg;
总而言之，很好喝。 -vol3/601.ogg;
嗯是呢真好喝。 -vol3/602.ogg;
果然对我而言还是安洁的茶最好喝。 -vol3/603.ogg;
什么的，说的太故意了吗。 -vol3/604.ogg;
主人！！！ -vol3/605.ogg;
但是是真的哦。 -vol3/606.ogg;
该怎么说呢我这样就好。 -vol3/607.ogg;
不，应该说这样才好。 -vol3/608.ogg;
抱歉啊现在只能说出这些。 -vol3/609.ogg;
不，主人，要是能让主人开心的话。 -vol3/610.ogg;
安洁觉得这样就没问题了欸嘿嘿。 -vol3/611.ogg;
这么简单就重新振作了。 -vol3/612.ogg;
还打算认真安慰一下的，真是白费功夫了。 -vol3/613.ogg;
但是是呢就是这么回事。 -vol3/614.ogg;
安洁是瓜生君的女仆嘛。 -vol3/615.ogg;
是的，是的！！正如你所说！！ -vol3/616.ogg;
埃莉可真是，该说是嘴笨呢，还是不通情理呢。 -vol3/617.ogg;
还是说不会多说点什么呢。 -vol3/618.ogg;
啊…… -vol3/619.ogg;
你并不是反对安洁小姐说的事情吧。 -vol3/620.ogg;
是的我没有反对的理由。 -vol3/621.ogg;
那样的话你就认可她不就可以了嘛。 -vol3/622.ogg;
对我来说是不可能的。 -vol3/623.ogg;
我选择了把女仆作为职业生活下去。 -vol3/624.ogg;
但是安洁和我不一样…… -vol3/625.ogg;
所以说！这就是你不通情理的地方！ -vol3/626.ogg;
哈哈……埃莉真的还和学生时代一样呢。 -vol3/627.ogg;
也太一样了，一根筋还不会变通。 -vol3/628.ogg;
决定心意后就直线向前。 -vol3/629.ogg;
不管发生什么事情都会贯彻到底。 -vol3/630.ogg;
嘛正是因为看到这样的你。 -vol3/631.ogg;
安洁也才成长为对自己的心意一心一意的好女孩。 -vol3/632.ogg;
兰华…… -vol3/633.ogg;
那时正因为你坚持到底。 -vol3/634.ogg;
拒绝了真的太好了。 -vol3/635.ogg;
现在真的越来越这么觉得。 -vol3/636.ogg;
要是我将那孩子作为养女领养。 -vol3/637.ogg;
和肚子里的爱理作为姐妹培养的话。 -vol3/638.ogg;
啊啦……你们两人之间还有这么一回事啊。 -vol3/639.ogg;
是啊那个时候的埃莉非常烦恼。 -vol3/640.ogg;
真的快看不下去了。 -vol3/641.ogg;
那要不就干脆我领养了。 -vol3/642.ogg;
真是抱歉……我那个时候一心都在美羽身上…… -vol3/643.ogg;
嗯……但是对哦。 -vol3/644.ogg;
要是领养了的话名字就会变成濑名菜夏。 -vol3/645.ogg;
昵称会变成七七七了（谐音梗）。 -vol3/646.ogg;
一样的话就很无聊了呢…… -vol3/647.ogg;
果然没领养真是太好了。 -vol3/648.ogg;
真是的让人没辙的人呢对吧埃莉小姐。 -vol3/649.ogg;
没有谢谢。 -vol3/650.ogg;
不管是从前还是现在。 -vol3/651.ogg;
但是要是太依赖你们的话。 -vol3/652.ogg;
我会无法继续向前的。 -vol3/653.ogg;
嗯？ -vol3/654.ogg;
活着的方式，对那个人的爱。 -vol3/655.ogg;
作为女仆的这件事。 -vol3/656.ogg;
啊原来如此啊。 -vol3/657.ogg;
哈……真是的，所以才没法认可吗。 -vol3/658.ogg;
是的，对我来说，女仆并不是妻子。 -vol3/659.ogg;
对母亲来说，安洁可能是不同的吧…… -vol3/660.ogg;
不同的？ -vol3/661.ogg;
是，母亲说女仆是生存方式。 -vol3/662.ogg;
是为了活下去的手段。 -vol3/663.ogg;
啊……是那堂课程的时候。 -vol3/664.ogg;
安洁当然也有这样想过。 -vol3/665.ogg;
女仆最开始是目的。 -vol3/666.ogg;
最终变成了手段。 -vol3/667.ogg;
但是…… -vol3/668.ogg;
我觉得已经不同了。 -vol3/669.ogg;
安洁已经觉得并不是手段和目的…… -vol3/670.ogg;
只是像安洁那样。 -vol3/671.ogg;
只是恋慕着主人。 -vol3/672.ogg;
这样的安洁在母亲大人看来。 -vol3/673.ogg;
可能是不同的…… -vol3/674.ogg;
确实呢。 -vol3/675.ogg;
来我家时，我们打招呼的时候。 -vol3/676.ogg;
埃莉小姐也什么都没说呢。 -vol3/677.ogg;
是这样呢……不管是好的，还是坏的。 -vol3/678.ogg;
因为是不同的吗。 -vol3/679.ogg;
但是啊安洁那是…… -vol3/680.ogg;
是的我知道。 -vol3/681.ogg;
安洁？ -vol3/682.ogg;
认可什么的，不需要。 -vol3/683.ogg;
因为安洁就是安洁。 -vol3/684.ogg;
安洁…… -vol3/685.ogg;
能变成这样也是多亏了母亲大人的福。 -vol3/686.ogg;
安洁虽然比这个世界上的任何人都尊敬母亲大人。 -vol3/687.ogg;
但是安洁已经是主人的安洁了！ -vol3/688.ogg;
真是的真是来也突然走也突然啊。 -vol3/689.ogg;
在突发事件这方面能被兰华说教可真是出乎意料。 -vol3/690.ogg;
要我来说的话，你们两个半斤八两。 -vol3/691.ogg;
你们自己都没注意到吗。 -vol3/692.ogg;
真是的~母亲到最后了都还在说这些。 -vol3/693.ogg;
也承蒙美羽小姐照顾了。 -vol3/694.ogg;
哪有哪有要再来哦。 -vol3/695.ogg;
我家无论何时都特别欢迎。 -vol3/696.ogg;
啊……但是，下次住在瓜生君的家里更好点吧？ -vol3/697.ogg;
抱歉哦菜夏酱霸占了你的母亲。 -vol3/698.ogg;
怎么会！万万没有！ -vol3/699.ogg;
安洁才是，母亲给您添麻烦了让人觉得过意不去。 -vol3/700.ogg;
但是谢谢你前辈。 -vol3/701.ogg;
埃莉小姐。 -vol3/702.ogg;
是的新吾先生。 -vol3/703.ogg;
请务必再来。 -vol3/704.ogg;
不……要说的话应该是我去您那边。 -vol3/705.ogg;
没有…… -vol3/706.ogg;
只是在这之前。 -vol3/707.ogg;
什么？ -vol3/708.ogg;
安洁。 -vol3/709.ogg;
母亲大人。 -vol3/710.ogg;
是的安洁。 -vol3/711.ogg;
母亲大人！ -vol3/712.ogg;
安洁不会征求母亲大人的许可。 -vol3/713.ogg;
安洁还不成气候。 -vol3/714.ogg;
其实应该算是完全不自量力的行为。 -vol3/715.ogg;
但是我觉得安洁就是安洁。 -vol3/716.ogg;
因为是主人的安洁。 -vol3/717.ogg;
已经…… -vol3/718.ogg;
从母亲大人那里学到很多很多。 -vol3/719.ogg;
我觉得已经得到了母亲大人的祝福。 -vol3/720.ogg;
以母亲大人来看的话。 -vol3/721.ogg;
可能安洁确实不同。 -vol3/722.ogg;
就算如此…… -vol3/723.ogg;
安洁。 -vol3/724.ogg;
在在！ -vol3/725.ogg;
请拿下发箍。 -vol3/726.ogg;
诶？！ -vol3/727.ogg;
来。 -vol3/728.ogg;
但但是！ -vol3/729.ogg;
你做不到吗？ -vol3/730.ogg;
母母亲大人不是知道吗。 -vol3/731.ogg;
要是拿下发箍的话安洁就…… -vol3/732.ogg;
是吗？ -vol3/733.ogg;
对我来说是不能这么做的。 -vol3/734.ogg;
在发觉婴儿的你在我这身装束时就会停止哭泣时。 -vol3/735.ogg;
母亲大人…… -vol3/736.ogg;
得成为比任何人都有能力。 -vol3/737.ogg;
作为连夫人大人都不得不承认的女仆活下去。 -vol3/738.ogg;
要继续陪伴在那个人身旁。 -vol3/739.ogg;
从决定的时候就一直…… -vol3/740.ogg;
母亲大人…… -vol3/741.ogg;
正如你所说。 -vol3/742.ogg;
你就是你我的安洁。 -vol3/743.ogg;
作为我和那个人交换的爱的证明的安洁。 -vol3/744.ogg;
让我贯彻了爱的方式的你。 -vol3/745.ogg;
就算和我有一样…… -vol3/746.ogg;
但是……和我不同。 -vol3/747.ogg;
你嫁给了挚爱的主人吧？ -vol3/748.ogg;
啊…… -vol3/749.ogg;
安洁。 -vol3/750.ogg;
主人。 -vol3/751.ogg;
所以希望你能让我拿下它。 -vol3/752.ogg;
不……但是！ -vol3/753.ogg;
我要拿了哦。 -vol3/754.ogg;
菜夏酱竟然没哭。 -vol3/755.ogg;
诶诶……？ -vol3/756.ogg;
也没有变成小孩？ -vol3/757.ogg;
是是的！ -vol3/758.ogg;
诶？诶？母亲大人？ -vol3/759.ogg;
女仆部不是妻子那种东西。 -vol3/760.ogg;
就像我一样。 -vol3/761.ogg;
但是安洁，要是你的话能成为最棒的妻子。 -vol3/762.ogg;
母亲大人…… -vol3/763.ogg;
祝福和天使之名同在。 -vol3/764.ogg;
再见吧。 -vol3/765.ogg;
久违的日本觉得如何？埃莉小姐。 -vol3/766.ogg;
非常，非常，是非常耀眼的存在。 -vol3/767.ogg;
谢谢您，新吾大人。 -vol3/768.ogg;
只要看见埃莉小姐穿着女仆服的样子。 -vol3/769.ogg;
婴儿时的安洁就会停止哭泣呢。 -vol3/770.ogg;
原来从那时开始。 -vol3/771.ogg;
安洁就认识到了那就是母亲了呢。 -vol3/772.ogg;
一定是这样…… -vol3/773.ogg;
没能发现自己就是让母亲变成那样的原因之一。 -vol3/774.ogg;
但是正因为是看到那样的埃莉小姐。 -vol3/775.ogg;
安洁也才想着要成为女仆。 -vol3/776.ogg;
得成为女仆才行吧。 -vol3/777.ogg;
也有这个原因。 -vol3/778.ogg;
觉得安洁得成为女仆才能活下去，也有这个原因。 -vol3/779.ogg;
女仆的孩子得成为女仆才行。 -vol3/780.ogg;
否则不能呆在父亲大人那里。 -vol3/781.ogg;
这样吗……嗯，这样啊。 -vol3/782.ogg;
但是果然还是托了这个的福。 -vol3/783.ogg;
果然不是什么诅咒。 -vol3/784.ogg;
主人……安洁果然还是从母亲大人那里。 -vol3/785.ogg;
学到了爱人的方式。 -vol3/786.ogg;
想在余生献上自己的全部。 -vol3/787.ogg;
为这样思念的人，仅此一位。 -vol3/788.ogg;
安洁…… -vol3/789.ogg;
是的，主人，母亲大人和安洁可能是不同的吧。 -vol3/790.ogg;
母亲大人是选择了女仆作为生存方式。 -vol3/791.ogg;
我则是被教会了女仆这种爱人方式。 -vol3/792.ogg;
这就是，安洁莉娜。 -vol3/793.ogg;
嗯就算拿下了发箍也不会再…… -vol3/794.ogg;
是的，已经不会再迷失自己。 -vol3/795.ogg;
作为女人，也作为女仆，对主人…… -vol3/796.ogg;
主人！！ -vol3/797.ogg;
嗯？ -vol3/798.ogg;
嘿嘿亲了。 -vol3/799.ogg;
突然袭击什么的！真是没脸见人了！ -vol3/800.ogg;
哈……爱人的方式啊。 -vol3/801.ogg;
是的！安洁会传递下去的！ -vol3/802.ogg;
和母亲大人不同，但是又和母亲大人一样。 -vol3/803.ogg;
由安洁来！ -vol3/804.ogg;
全校学生的各位！ -vol3/805.ogg;
是安洁的临时广播！ -vol3/806.ogg;
其实安洁考虑着明年创建女仆部！ -vol3/807.ogg;
哈。 -vol3/808.ogg;
哦哟怎么了主人？ -vol3/809.ogg;
安洁有什么奇怪的吗？ -vol3/810.ogg;
没有，啊嗯我也觉得确实很耀眼。 -vol3/811.ogg;
啊……哈哈因为是安洁嘛！ -vol3/812.ogg;
哈哈哈哈。 -vol3/813.ogg;
啊！话说回来，难道说麦克不会还没关吧？ -vol3/814.ogg;
啊啊啊啊安洁搞砸了。 -vol3/815.ogg;
那个那个说到哪了呢。 -vol3/816.ogg;
咳咳咳。 -vol3/817.ogg;
对了考虑创建女仆部。 -vol3/818.ogg;
诶……在募集部员…… -vol3/819.ogg;
（正片结束，接下来是声优访谈）。 -vol3/820.ogg;
我是为瓜生新吾配音的水岛大宙。 -vol3/821.ogg;
诶这次轮到了安洁篇。 -vol3/822.ogg;
以第三弹这种形式发售了。 -vol3/823.ogg;
每次都面对不同的女主角去尝试着接触。 -vol3/824.ogg;
然后那时其他的女主角也不是主角的相好的感觉。 -vol3/825.ogg;
一边思考到底人际关系会变成什么样子呢一边配。 -vol3/826.ogg;
该怎么说呢。 -vol3/827.ogg;
安洁是不管在交往还是没在交往。 -vol3/828.ogg;
都会以一样的气势勇往直前的角色。 -vol3/829.ogg;
这次要怎么接住她的球是主题。 -vol3/830.ogg;
以这样的心情进行配音的。 -vol3/831.ogg;
有没有传达给大家呢。 -vol3/832.ogg;
也期待一下其他的剧本谢谢。 -vol3/833.ogg;
辛苦了。 -vol3/834.ogg;
我是为安洁莉娜·菜夏·史威尔。 -vol3/835.ogg;
通称安洁配音的壱智村小真。 -vol3/836.ogg;
这是因为是安洁篇。 -vol3/837.ogg;
说了很多话。 -vol3/838.ogg;
我觉得大概说了两三本台本的量。 -vol3/839.ogg;
已经筋疲力尽了。 -vol3/840.ogg;
但是也展现了安洁并不光只有吵闹的地方。 -vol3/841.ogg;
是不是很好呢。 -vol3/842.ogg;
还有就是。 -vol3/843.ogg;
最后出现了发箍这个关键词。 -vol3/844.ogg;
其实安洁摘下发箍后。 -vol3/845.ogg;
其实会变得像小孩子一样大哭。 -vol3/846.ogg;
要是听了这段故事的话我觉得就很容易理解了。 -vol3/847.ogg;
那么就这样~ -vol3/848.ogg;
各位辛苦了。 -vol3/849.ogg;
我是为濑名爱理配音的小野凉子（爱理天下第一）。 -vol3/850.ogg;
那个纯白交响曲的 DRAMA CD 也到了第三卷。 -vol3/851.ogg;
我觉得纯白的世界观也能基本能看清。 -vol3/852.ogg;
大家也都熟悉了吧。 -vol3/853.ogg;
但是但是！ -vol3/854.ogg;
没想到在这里母亲们登场了。 -vol3/855.ogg;
安洁的母亲竟然是这样一个人。 -vol3/856.ogg;
我完全没预料到。 -vol3/857.ogg;
该怎么说。 -vol3/858.ogg;
真的很震惊。 -vol3/859.ogg;
但是该怎么说呢。 -vol3/860.ogg;
我觉得纯白的母亲们个性强烈的人比较多…… -vol3/861.ogg;
某种意义上来说。 -vol3/862.ogg;
我觉得这次兰华小姐和结子小姐和埃莉小姐。 -vol3/863.ogg;
简直是最强组合。 -vol3/864.ogg;
拥有着能让安洁看起来都变得不那么显眼的力量。 -vol3/865.ogg;
这三人登场的这次的广播剧。 -vol3/866.ogg;
各位有享受到吗~ -vol3/867.ogg;
我觉得 DRAMA CD 还会再继续，继续出的。 -vol3/868.ogg;
今后也请期待一下。 -vol3/869.ogg;
十分感谢。 -vol3/870.ogg;
大家好辛苦了。 -vol3/871.ogg;
我是为瓜生樱乃配音的后藤麻衣。 -vol3/872.ogg;
这次是安洁篇。 -vol3/873.ogg;
嘛樱乃酱的出场有些许减少了是吧？ -vol3/874.ogg;
之前出场的樱乃篇已经滔滔不绝了。 -vol3/875.ogg;
在听这个的各位手上都有吧？ -vol3/876.ogg;
真的十分出色。 -vol3/877.ogg;
真不愧是大家，谢谢。 -vol3/878.ogg;
还没买的各位请务必去购买。 -vol3/879.ogg;
嗯就算对樱乃没兴趣还有很多其他人登场哦。 -vol3/880.ogg;
要买哦！ -vol3/881.ogg;
好的差不多就是这样配到了现在。 -vol3/882.ogg;
女仆小姐是安洁小姐对吧。 -vol3/883.ogg;
因为是女仆小姐。 -vol3/884.ogg;
女仆啊~ -vol3/885.ogg;
我以前有去过一次女仆咖啡店。 -vol3/886.ogg;
那个被叫做大小姐情绪就会高涨呢。 -vol3/887.ogg;
那到底是为什么呢？ -vol3/888.ogg;
明明是同性却觉得很开心。 -vol3/889.ogg;
什么来着。 -vol3/890.ogg;
蛋包饭吧？还是帕露菲呢。 -vol3/891.ogg;
我记着因为说是能换各种各样的装饰。 -vol3/892.ogg;
结果一下子贪心了点总而言之全都来了个遍。 -vol3/893.ogg;
真是个很棒的回忆。 -vol3/894.ogg;
还有机会的话还想去一下呢。 -vol3/895.ogg;
嘛差不多就是这样。 -vol3/896.ogg;
我是后藤麻衣。 -vol3/897.ogg;
各位大家好。 -vol3/898.ogg;
我是为天羽美羽配音的力丸乃梨子。 -vol3/899.ogg;
小真配演的安洁实在是可爱到不行。 -vol3/900.ogg;
那句“安洁摸不着头脑”。 -vol3/901.ogg;
我很中意这个台词。 -vol3/902.ogg;
大家都叫安洁、安洁酱。 -vol3/903.ogg;
不知道为什么只有美羽前辈执着于叫菜夏酱。 -vol3/904.ogg;
我每次都觉得很不可思议。 -vol3/905.ogg;
就这样吧。 -vol3/906.ogg;
那个我是为乾纱凪配音的吉田真弓，各位辛苦了。 -vol3/907.ogg;
那个这次是安洁篇。 -vol3/908.ogg;
我觉得比起爱理篇和樱乃篇更加情绪高涨的感觉。 -vol3/909.ogg;
在手忙脚乱之中也有一丝让人感动的部分。 -vol3/910.ogg;
成为了感觉不错的故事。 -vol3/911.ogg;
但是对纱凪来说。 -vol3/912.ogg;
那个…… -vol3/913.ogg;
这个也在广播……这边也可以说吧？ -vol3/914.ogg;
大概说是可以……那个。 -vol3/915.ogg;
在那边和万智老师一起出演结姬女子学园的广播。 -vol3/916.ogg;
母亲们也变得很有趣的样子。 -vol3/917.ogg;
那个……也期待一下那边。 -vol3/918.ogg;
下次纱凪和万智老师能不能复活呢（指结姬夜话）。 -vol3/919.ogg;
这也可以作为下次的乐趣了。 -vol3/920.ogg;
谢谢。 -vol3/921.ogg;
我是为椋梨隼太配音的铃木达央。 -vol3/922.ogg;
这次是安洁篇。 -vol3/923.ogg;
隼太又来打扰了。 -vol3/924.ogg;
我个人的意见。 -vol3/925.ogg;
像是女仆小姐。 -vol3/926.ogg;
或者在做女仆的人都叫的是主人大人。 -vol3/927.ogg;
但是安洁却一直叫的是老爷（旦那）。 -vol3/928.ogg;
我觉得老爷大人这个听起来真是顺耳。 -vol3/929.ogg;
还有就是抱着还要亲亲。 -vol3/930.ogg;
那真的是，我可真是太羡慕了！大宙先生！ -vol3/931.ogg;
一边这么想着，也听了很多。 -vol3/932.ogg;
真不错呢听着这种广播剧。 -vol3/933.ogg;
每次我都觉得。 -vol3/934.ogg;
隼太也差不多可以有和自己的未婚妻。 -vol3/935.ogg;
亲亲我我戏份了吧？ -vol3/936.ogg;
当然也有我个人的愿望在里面。 -vol3/937.ogg;
嘛每次都是这样。 -vol3/938.ogg;
我想隼太在和不知道真身的未婚妻在私下亲亲吧。 -vol3/939.ogg;
结果每次是自己的个人妄想。 -vol3/940.ogg;
大家都有什么样的感想呢。 -vol3/941.ogg;
要是能听的开心就好了。 -vol3/942.ogg;
辛苦了。 -vol3/943.ogg;
诶我是为八冢万智配音的瑞泽溪。 -vol3/944.ogg;
万智老师总是有一点点一点点一点点的登场呢。 -vol3/945.ogg;
我在录音棚里。 -vol3/946.ogg;
一边听着安洁酱新吾君的亲亲我我一边兴奋。 -vol3/947.ogg;
然后对安洁酱不可思议的台词觉得有趣也在傻笑。 -vol3/948.ogg;
大概这样的感觉。 -vol3/949.ogg;
谢谢让我享受到了。 -vol3/950.ogg;
各位也听着这个。 -vol3/951.ogg;
尖叫呀害羞啊。 -vol3/952.ogg;
或者觉得真好啊很羡慕就行。 -vol3/953.ogg;
万智老师能要是再多登场一点就好了。 -vol3/954.ogg;
我也很期待。 -vol3/955.ogg;
大家也请期待着一下这之后的作品。 -vol3/956.ogg;
请多指教。 -vol3/957.ogg;
那么再见。 -vol3/958.ogg;
我是为濑名兰华和帕喵配音的樱井浩美。 -vol3/959.ogg;
这次埃莉安洁的母亲初次登场吧？ -vol3/960.ogg;
大概是这样。 -vol3/961.ogg;
我觉得大概在学生时代兰华结子埃莉关系就很好。 -vol3/962.ogg;
现在也是。 -vol3/963.ogg;
兰华也是处于让大家骚动起来的位置的角色。 -vol3/964.ogg;
这三人凑齐后。 -vol3/965.ogg;
我也想看一下这三个人的学园生活了。 -vol3/966.ogg;
就是这样谢谢~ -vol3/967.ogg;
我是樱井浩美。 -vol3/968.ogg;
我是为天羽结子配音的结本美智留。 -vol3/969.ogg;
是的这次母亲们聚齐了。 -vol3/970.ogg;
结子小姐也终于有了出场谢谢！ -vol3/971.ogg;
好了，母亲成分比较多的安洁篇。 -vol3/972.ogg;
大家务必要好好享受。 -vol3/973.ogg;
各位大家好。 -vol3/974.ogg;
我是为新角色埃莉，埃莉诺·史威尔配音的友永朱音。 -vol3/975.ogg;
今天的独自一人的收录。 -vol3/976.ogg;
非常寂寞。 -vol3/977.ogg;
因此非常恳切的祈祷这之后埃莉也登场。 -vol3/978.ogg;
能和大家一起进行收录。 -vol3/979.ogg;
再就是对我而言也是。 -vol3/980.ogg;
像这样为淡泊的角色配音也很少。 -vol3/981.ogg;
十分新鲜呢。 -vol3/982.ogg;
今后要是埃莉也能在哪里出场就好了。 -vol3/983.ogg;
这次没有立绘没有图。 -vol3/984.ogg;
总有一天也想看埃莉的图。 -vol3/985.ogg;
因此各位。 -vol3/986.ogg;
今后埃莉也拜托各位了。 -vol3/987.ogg;
我是友永朱音。 -vol3/988.ogg;
（结束，谢谢今天还能喜欢纯白交响曲的各位。） -vol3/989.ogg;
